time,epoch,step,loss,rest,state,clean,lr,peak_gb
1784366248.979083,107,178200,0.01386810839176178,0.01386810839176178,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366266.5956633,107,178250,0.01248941756784916,0.01248941756784916,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366284.2517414,107,178300,0.010810348205268383,0.010810348205268383,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366301.9443367,107,178350,0.011543386615812778,0.011543386615812778,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366319.578345,107,178400,0.01300251204520464,0.01300251204520464,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366337.2213886,107,178450,0.01193456444889307,0.01193456444889307,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366354.9455626,107,178500,0.011763067916035652,0.011763067916035652,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366372.5362682,107,178550,0.011562729254364967,0.011562729254364967,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366390.1417437,107,178600,0.011409216560423374,0.011409216560423374,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366407.7553058,107,178650,0.014468885026872158,0.014468885026872158,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366425.362533,107,178700,0.012068028561770916,0.012068028561770916,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366442.9899943,107,178750,0.014537235721945763,0.014537235721945763,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366460.6114213,107,178800,0.01233836729079485,0.01233836729079485,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366478.2207093,107,178850,0.010442795231938362,0.010442795231938362,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366495.8361633,107,178900,0.014296048320829868,0.014296048320829868,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366513.4437084,107,178950,0.012445234693586826,0.012445234693586826,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366531.0494728,107,179000,0.010346740484237671,0.010346740484237671,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366548.9821625,107,179050,0.013664660975337029,0.013664660975337029,0.0,0.0,0.00014235485126679243,20.501578330993652
1784366568.1056159,108,179100,0.011898047290742397,0.011898047290742397,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366585.6996024,108,179150,0.01346525363624096,0.01346525363624096,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366603.3073745,108,179200,0.010808886960148811,0.010808886960148811,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366620.9196212,108,179250,0.010856867767870426,0.010856867767870426,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366638.8076024,108,179300,0.013931377790868282,0.013931377790868282,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366656.5044887,108,179350,0.012525709345936775,0.012525709345936775,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366674.1400473,108,179400,0.014619979076087475,0.014619979076087475,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366691.799119,108,179450,0.013344666920602322,0.013344666920602322,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366709.4731257,108,179500,0.013395460322499275,0.013395460322499275,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366727.124197,108,179550,0.01463358849287033,0.01463358849287033,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366744.7634187,108,179600,0.013805711641907692,0.013805711641907692,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366762.400007,108,179650,0.013106176629662514,0.013106176629662514,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366779.8473492,108,179700,0.014830190688371658,0.014830190688371658,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366797.4423676,108,179750,0.014640538021922112,0.014640538021922112,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366815.058746,108,179800,0.010568706318736076,0.010568706318736076,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366832.7774646,108,179850,0.012474696151912212,0.012474696151912212,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366850.5818584,108,179900,0.011414655484259129,0.011414655484259129,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366868.1009471,108,179950,0.008839759044349194,0.008839759044349194,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366885.6122859,108,180000,0.013197976164519787,0.013197976164519787,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366903.6678083,108,180050,0.014944614842534065,0.014944614842534065,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366921.3033578,108,180100,0.013960068114101887,0.013960068114101887,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366938.8511357,108,180150,0.011513805948197842,0.011513805948197842,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366956.4285688,108,180200,0.012123692780733109,0.012123692780733109,0.0,0.0,0.00014123563174739037,20.501578330993652
1784366975.8004265,109,180250,0.01117660105228424,0.01117660105228424,0.0,0.0,0.00014011015349327187,20.501578330993652
1784366993.4257874,109,180300,0.011294759809970856,0.011294759809970856,0.0,0.0,0.00014011015349327187,20.501578330993652
