task,name,psnr,ssim
denoise25,0017,31.81869621919833,0.8858752846717834
denoise25,0018,31.402604662510605,0.9216394424438477
denoise25,0019,31.801130783814678,0.8947804570198059
denoise25,0020,32.852911795191886,0.8941338658332825
denoise25,0021,29.83020673001446,0.865142822265625
denoise25,0022,30.630450301155427,0.9135404229164124
denoise25,0023,34.649025301022874,0.920107901096344
denoise25,0024,30.508961572668586,0.8712396621704102
denoise25,0025,31.092843956846327,0.8818188309669495
denoise25,0026,28.983290634880127,0.915327250957489
denoise25,0027,29.528032251387657,0.8850653767585754
denoise25,0028,31.161793817613678,0.9102461934089661
denoise25,0029,31.062844911650323,0.9091154932975769
denoise25,0030,31.877005063659475,0.9463068842887878
denoise25,0031,32.017093501188036,0.8825551867485046
denoise25,0032,34.930509181268434,0.9014402031898499
denoise25,0033,27.575455152445556,0.9175243377685547
denoise25,0034,31.926102935923723,0.8699226379394531
denoise25,0035,27.311810049828978,0.9058892130851746
denoise25,0036,29.151114753789905,0.9027701020240784
denoise25,0037,30.514251926831765,0.936404287815094
denoise25,0038,35.013870263651135,0.887866199016571
denoise25,0039,29.33650848698997,0.7240157127380371
denoise25,0040,30.59992846670079,0.8625266551971436
denoise25,0041,30.964762904281592,0.8586727976799011
denoise25,0042,34.952846584540524,0.939685046672821
denoise25,0043,30.207485647645022,0.8837907314300537
denoise25,0044,31.91316404227241,0.8684432506561279
denoise25,0045,32.43282054147946,0.9177360534667969
denoise25,0046,30.220373113533036,0.916759192943573
denoise25,0047,35.41680468968474,0.9080783724784851
denoise25,0048,28.99621252677527,0.8740894794464111
denoise25,0049,28.946645491300117,0.8823469281196594
denoise25,0050,33.251511850316774,0.8581449389457703
denoise25,0051,29.218356438126044,0.8686878085136414
denoise25,0052,30.79528104419051,0.8746132850646973
denoise25,0053,33.70296363285581,0.8710868954658508
denoise25,0054,32.95605492244129,0.8387579917907715
denoise25,0055,31.48706693266137,0.8855999112129211
denoise25,0056,29.923195433023835,0.8716993927955627
denoise25,0057,26.674672850545882,0.8901927471160889
denoise25,0058,30.395104382728235,0.8924699425697327
denoise25,0059,32.47099117394387,0.8413665890693665
denoise25,0060,32.100057181132655,0.8463655114173889
denoise25,0061,32.754347395364334,0.8517991900444031
denoise25,0062,32.33406236198959,0.8552080988883972
denoise25,0063,35.80942603113816,0.9486124515533447
denoise25,0064,28.983255029818295,0.903995931148529
denoise25,0065,29.02567091476937,0.8377025127410889
denoise25,0066,30.789964126531192,0.8782340884208679
denoise25,0067,28.900940585928318,0.923048734664917
denoise50,0000,37.117944289850364,0.9567062258720398
denoise50,0001,26.752670165471795,0.7501387596130371
denoise50,0002,31.941929081957067,0.8376577496528625
denoise50,0003,27.43526937576653,0.7633861899375916
denoise50,0004,27.14041990296671,0.7719209790229797
denoise50,0005,28.416772828760134,0.7645387053489685
denoise50,0006,28.073439028610565,0.8935105204582214
denoise50,0007,23.79675564408018,0.8326932787895203
denoise50,0008,24.998162448970078,0.7005223631858826
denoise50,0009,29.013285147282378,0.8476521372795105
denoise50,0010,28.837800617703508,0.8433582782745361
denoise50,0011,29.474860799195515,0.8222671151161194
denoise50,0012,26.431596790408754,0.7838706970214844
denoise50,0013,32.00681704330783,0.879168689250946
denoise50,0014,27.409842882586965,0.7817714214324951
denoise50,0015,25.142349871716885,0.7213628888130188
denoise50,0016,28.002583369500293,0.806463897228241
denoise50,0017,28.62976607629345,0.7872646450996399
denoise50,0018,27.76241783059224,0.8510940074920654
denoise50,0019,28.614723677877475,0.7983332276344299
denoise50,0020,29.64370637954541,0.8289985656738281
denoise50,0021,26.339130102164866,0.7571242451667786
denoise50,0022,26.890921015557588,0.8325519561767578
denoise50,0023,31.73750177550355,0.8705658912658691
denoise50,0024,27.204913049213786,0.7658231854438782
denoise50,0025,27.63847676980607,0.8068421483039856
denoise50,0026,25.088602534234678,0.8345672488212585
denoise50,0027,26.044389538482065,0.7771565318107605
denoise50,0028,27.43698311822552,0.8277245163917542
denoise50,0029,27.543809103790856,0.8278870582580566
denoise50,0030,28.40711862933954,0.89288729429245
denoise50,0031,28.786985460710174,0.7941166758537292
denoise50,0032,31.95270008796673,0.8475062847137451
denoise50,0033,23.415553539294628,0.7989754676818848
denoise50,0034,28.727525048832018,0.7630637288093567
denoise50,0035,23.47751568176482,0.776986837387085
denoise50,0036,25.5513598631984,0.7904312014579773
denoise50,0037,26.879328855673677,0.8769374489784241
denoise50,0038,32.6149235477873,0.8491433262825012
denoise50,0039,27.210882521464793,0.5249989628791809
denoise50,0040,27.78346854423404,0.7468383312225342
denoise50,0041,27.732784349269743,0.7369492650032043
denoise50,0042,31.459116430620533,0.8908884525299072
denoise50,0043,26.834357807790795,0.7735901474952698
denoise50,0044,28.635065772096283,0.7790263295173645
denoise50,0045,28.846024148904206,0.8493094444274902
denoise50,0046,26.50630861835915,0.8184234499931335
denoise50,0047,32.6456274277565,0.8446722030639648
denoise50,0048,25.409340820405433,0.7582314014434814
denoise50,0049,25.515451457999653,0.7573676109313965
denoise50,0050,30.70346421382687,0.7916423678398132
denoise50,0051,25.97215663632982,0.7509966492652893
denoise50,0052,27.38875105342633,0.7713527679443359
denoise50,0053,31.168049094758036,0.801203727722168
denoise50,0054,30.489836253957712,0.7398646473884583
denoise50,0055,28.200587318366942,0.7993349432945251
denoise50,0056,26.499302254636778,0.756009578704834
denoise50,0057,22.915664927205256,0.735952615737915
denoise50,0058,27.28052062883076,0.7876010537147522
denoise50,0059,30.177789443735627,0.7582570910453796
denoise50,0060,29.56118890793328,0.7538635730743408
denoise50,0061,30.1086090528347,0.7675947546958923
denoise50,0062,29.133343648370726,0.7610228657722473
denoise50,0063,32.57797117535836,0.9228673577308655
denoise50,0064,25.31688504003987,0.7878778576850891
