protocol,scope,run_name,stage,model_kind,feedback,seed,epoch,step,task,metric,value,n,source_path,source_sha256,manifest_path,manifest_sha256,ledger_path,ledger_sha256
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,35,75285,derain,psnr,35.517562580108645,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,35,75285,five_setting_mean,psnr,33.234529211051985,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,40,86040,dehaze,psnr,35.18256543787514,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,40,86040,denoise15,psnr,34.97814793262667,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,40,86040,denoise25,psnr,32.51768995488732,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,40,86040,denoise50,psnr,29.210565289247384,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,40,86040,derain,psnr,35.79500761032104,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,40,86040,five_setting_mean,psnr,33.53679524499151,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,45,96795,dehaze,psnr,34.877851514118476,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
aio3,locked_val,aio3_stage_a_coarse_seed1415926,a,srsc,,1415926,45,96795,denoise15,psnr,34.95614435140369,,/root/autodl-tmp/srsc_lite_v12/artifacts/metrics/aio3_stage_a_coarse_seed1415926_locked_val.jsonl,68c6eceb104b8e7c7fd57c154ef3dafe311daead248ceeeed26a25452edd1b7c,,,,
